code_activity,name_activity,description,ar_name_activity,ar_description,subfield,field,definition
72201,Aide photograveur,,مساعد محور الحفر الضوئي,,101,7,"Activité permettant aux auto-entrepreneurs algériens de traiter des images et de réaliser des reproductions photographiques pour des clients tels que des imprimeries, des agences de publicité ou des particuliers."
72109,Photographe scolaire,,مصور مدرسي,,101,7,"Activité consistant à prendre des photos des élèves dans les établissements scolaires, notamment pour les portraits individuels, les photos de classe et les événements spéciaux de l'école."
72108,Photographe itinérant,,مصور متنقل,,101,7,"Service mobile de photographie offrant des séances personnalisées pour les événements, les portraits et autres occasions. Le photographe se déplace sur le site du client, offrant flexibilité et commodité."
72107,Photographe événementiel,,مصور التظاهرات,,101,7,"Captage d'images professionnelles lors d'événements tels que les mariages, les conférences et les soirées d'entreprise, pour immortaliser ces moments mémorables et fournir aux clients des souvenirs durables."
72106,Photographe de sport,,مصور رياضي,,101,7,"Photographier des événements sportifs, capturer des moments d'action et d'émotion. Présenter les images à des médias, clubs sportifs ou particuliers pour publication ou utilisation promotionnelle."
72105,Photographe de reportage,,مصور ربورتاجات,,101,7,"Activité consistant à prendre des photographies d'événements, de personnes ou de scènes, principalement à des fins de reportages ou de documentation. Il s'agit de capturer des moments ou des sujets pour transmettre des informations ou raconter des histoires visuelles."
72104,Photographe,,مصور,,100,7,"Activité artisanale consistant à réaliser des photographies, à les traiter et à les commercialiser sous diverses formes (tirages, albums, reportages, etc.). Le photographe peut également proposer des services de retouche, de montage et de création d'images."
72103,Opérateur de laboratoire photographique,,مشغل مخبر الصور,,100,7,"Activité consistant à traiter et à développer des photographies, à effectuer des travaux de finition tels que le tirage, le montage, l'encadrement et la reproduction. L'opérateur peut également fournir des services de numérisation et de retouche d'images."
72102,Développeur de photographies,,مطور الصور,,100,7,"Activité consistant à retoucher, imprimer et développer des photographies numériques ou argentiques pour les clients, généralement dans un cadre artisanal ou semi-industriel."
72101,Assistant photographe,,مساعد مصور,,100,7,"Aide professionnelle aux photographes, notamment pour le cadrage, l'éclairage, la préparation de l'équipement et la post-production, afin d'améliorer la qualité et l'efficacité des séances photo."
72003,Technicien opérateur de projection cinéma,,تقني مشغل في العرض السينمائي,,100,7,"Exploitation et maintenance d'équipements de projection cinématographique, projection de films en salle ou en plein air."
72002,Projectionniste,,عارض أفلام,,100,7,"Activité artisanale consistant à projeter des films, des documentaires ou des publicités dans les salles de cinéma. Elle implique la manipulation et l'installation de projecteurs, d'écrans et de systèmes audiovisuels."
72001,Opérateur projectionniste cinéma,,مشغل/ عارض الأفلام السينمائية,,100,7,"Projection de films et de vidéos dans des salles de cinéma, des centres culturels ou lors d'événements spéciaux, en réglant et en utilisant des projecteurs, des systèmes de sonorisation et d'autres équipements."
71908,Web designer,,مصمم الويب,,100,7,Conception et création de sites web et d'interfaces utilisateur visuellement attrayantes et fonctionnelles.
71907,Story boarder,,كاتب قصص مصورة,,100,7,"Créer des visuels pour les films, les publicités et les jeux vidéo, illustrant les plans, les angles de caméra et les mouvements pour guider la production."
71906,Infographiste multimédia,,مصمم الرسومات بالحاسوب (إنفوغرافيك) وسائل الإعلام,,99,7,"Création et manipulation d'images, de vidéos et d'autres contenus multimédias pour les besoins de communication, de marketing et de publicité."
71905,Illustrateur multimédia,,رسام القصص المصورة,,99,7,"L'illustrateur multimédia crée des images numériques ou statiques pour divers supports, notamment des sites Web, des jeux vidéo, des applications et des supports marketing. Il utilise des logiciels de conception graphique pour transformer des concepts en images visuelles captivantes."
71904,Designer en contenu multimédia,,مصمم في محتوى وسائل الإعلام,,99,7,"Création et développement de contenu visuel numérique, comme des images, des vidéos, des infographies et des animations, pour transmettre des informations ou promouvoir des produits et services en utilisant des outils numériques."
71903,Animateur 3D,,أنفوغرافي ثلاثي الأبعاد,,98,7,"Activité consistant à créer des représentations tridimensionnelles animées dans des domaines tels que la modélisation architecturale, les effets spéciaux, les jeux vidéo et les simulations. Il nécessite des compétences en logiciels spécialisés et en techniques d'animation."
71902,Animateur 2D,,أنفوغرافي ثنائي الأبعاد,,98,7,"L'animateur 2D crée et anime des personnages, des objets et des scènes pour la production de films, de jeux vidéo et d'illustrations numériques en utilisant des logiciels spécialisés."
71901,Affichiste illustrateur,,رسام الرسومات التوضيحية في وسائل الإعلام,,98,7,"Création d'affiches, d'illustrations et d'éléments graphiques pour des campagnes publicitaires, des supports marketing et des initiatives de communication."
71810,Superviseur monteur postproduction,,مشرف مركب ما بعد الإنتاج,,98,7,"Supervision de projets de postproduction, en assurant le montage vidéo, le mixage audio, l'étalonnage des couleurs et les effets spéciaux, pour produire du contenu vidéo pour les entreprises et les particuliers"
71809,Opérateur PADPrêt A Diffuser,,منسق المحتويات السمعية البصرية الجاهزة,,98,7,"Activité consistant à diffuser des contenus audiovisuels, tels que des films, des séries et des documentaires, sur des plateformes de streaming ou de vidéo à la demande."
71808,Monteur vidéo,,مركب الفيديو,,98,7,"Monteur vidéo : Activité consistant à assembler et à traiter des séquences vidéo pour créer des films, des documentaires ou des vidéos promotionnelles. Implique l'utilisation de logiciels de montage pour manipuler les images, ajouter des effets et synchroniser le son."
71807,Monteur sous titres,,مركب حاشية العنونة,,98,7,"Monter des sous-titres pour des productions audiovisuelles (films, séries, documentaires, etc.), en synchronisant le texte avec le contenu audio et vidéo."
71806,Monteur postproduction,,مركب ما بعد الإنتاج,,98,7,"Montage et assemblage de contenus audiovisuels (images, sons, effets spéciaux) pour créer des vidéos finales de qualité professionnelle. Ce métier nécessite des compétences techniques en logiciels de montage et des connaissances en narration visuelle."
71805,Monteur adjoint postproduction,,مساعد مركب ما بعد الإنتاج,,97,7,"Responsable de l'assemblage et de la finalisation des séquences vidéo enregistrées, ajoutant effets spéciaux, musique et autres éléments selon les directives du monteur de post-production."
71804,Mixeur,,مكلف بالمزج,,97,7,"Activité consistant à mélanger des ingrédients solides ou liquides à l'aide d'un appareil électrique ou manuel, pour obtenir une texture homogène. Idéale pour les préparations culinaires, pâtissières ou encore les boissons."
71803,Etalonneur numérique,,معير رقمي,,97,7,"Expert en calibrage et en entretien des équipements de mesure et d'instrumentation numériques, garantissant leur précision et leur conformité aux normes."
71802,Chef monteur postproduction,,رئيس مركب ما بعد الإنتاج,,97,7,"Montage de séquences vidéo, d'effets sonores et musicaux pour créer un produit audiovisuel final."
71801,Assistant monteur postproduction,,مساعد مركب ما بعد الإنتاج,,97,7,"Activer l'assistance en post-production pour les auto-entrepreneurs en Algérie, leur permettant d'effectuer des tâches telles que le montage, l'étalonnage des couleurs, la conception sonore et la création d'effets visuels pour les projets de films, de télévision et de médias numériques."
71714,Travelling man,,محرك الكاميرا على سكة,,97,7,"Activité de prestation de services d'accompagnement et de conseil prodiguée par des personnes physiques à titre individuel aux voyageurs pour les aider à planifier, organiser et réaliser leurs itinéraires de voyage."
71713,Technicien plateau,,تقني البلاطو,,97,7,Technicien plateau : Professionnel de l'audiovisuel responsable du fonctionnement et de la maintenance des équipements techniques sur un plateau de tournage ou de diffusion.
71712,Manutentionnaire de plateau,,توضيب  البلاطو,,97,7,"Activité qui consiste à transporter des marchandises à l'aide d'un plateau roulant, dans un entrepôt ou un magasin. Il s'assure de la bonne manutention et du chargement des articles sur les plateaux, puis les transporte vers les zones désignées."
71711,Machiniste vidéo,,منسق ديكور عام,,97,7,"Machiniste vidéo : Professionnel qui assure le fonctionnement et la maintenance des équipements de tournage et de montage vidéo. Il assure la qualité technique des images et du son, et assiste le réalisateur dans la mise en œuvre de ses choix techniques et esthétiques."
71710,Machiniste théatre,,منسق ديكور مسرح,,97,7,"Activité de montage, démontage et manipulation d'équipements techniques (son, lumière, décors) dans le domaine du spectacle théâtral."
71709,Machiniste télévision,,منسق ديكور التلفزيون,,96,7,"Activité consistant à réparer ou entretenir les téléviseurs, lecteurs DVD et autres appareils de réception ou de reproduction audiovisuelle."
71708,Machiniste spectacle,,منسق ديكور عروض ,,96,7,"Un machiniste spectacle est un auto-entrepreneur qui assure la manipulation et la mise en œuvre des éléments techniques d'un spectacle (lumière, son, vidéo, machinerie). Il assure la sécurité et le bon fonctionnement des installations techniques, ainsi que la coordination avec les autres acteurs du spectacle."
71707,Machiniste en décors,,مشغل عرض ديكور,,96,7,"Le machiniste en décors est chargé de construire et de maintenir les décors pour les représentations théâtrales, les plateaux de tournage et les événements. Il veille à la sécurité de ces structures et s'assure qu'elles répondent aux exigences techniques et esthétiques."
71706,Machiniste en chef,,مشغل عرض رئيسي,,96,7,"Professionnel qualifié qui assure la direction technique et la maintenance d'équipements dans des usines ou des ateliers industriels. Il supervise une équipe de machinistes, planifie des interventions, gère les stocks et assure la conformité aux normes de sécurité."
71705,Machiniste constructeur de décors,,مشغل ومصمم آلات الديكور,,96,7,"Activité de construction de décors pour le théâtre, le cinéma, la télévision ou l'événementiel, nécessitant l'utilisation de machines et de techniques de fabrication."
71704,Machiniste cinema,,مشغل آلات السينما,,96,7,"Personne spécialisée dans la manipulation et l'entretien des équipements techniques utilisés dans la production cinématographique, notamment les caméras, les éclairages et le son."
71703,Cintrier machiniste,,مشغل آلات دعائم الستائر,,96,7,"Activité consistant à couper, plier, assembler et poser des éléments métalliques pour la réalisation de charpentes métalliques, d'ouvrages d'art et d'autres structures métalliques."
71702,Chef machiniste spectacle,,رئيس مشغل آلات العرض,,96,7,"Le chef machiniste spectacle est responsable de la supervision et de la coordination des équipes techniques dans le cadre de spectacles de scène, de cinéma ou de télévision. Il assure le bon fonctionnement des équipements scéniques, tels que l'éclairage, le son et la machinerie, afin de créer les effets visuels et sonores souhaités."
71701,Chef atelier machinerie,,رئيس ورشة الآلات,,96,7,"Responsable de la gestion et de la maintenance des équipements et machines de production dans un atelier. Assure la sécurité et l'efficacité des opérations, planifie les interventions de maintenance, gère les stocks de pièces détachées et forme le personnel sur l'utilisation des machines."
71615,Technicien du son,,تقني الصوت,,96,7,"Technicien du son en Algérie :

Professionnel chargé de l'enregistrement, du mixage et de la diffusion du son. Il assure la qualité technique des enregistrements et des événements sonores."
71614,Technicien de sonorisation,,تقني أجهزة تكبير الصوت,,96,7,"Installation, réglage et maintenance de systèmes de sonorisation pour des événements tels que des concerts, des conférences et des spectacles. Assure la qualité du son et l'adaptation aux différentes acoustiques."
71613,Sonorisateur,,منتج الصوت,,96,7,"Responsable de l'installation, de la configuration et de l'exploitation des systèmes de sonorisation lors d'événements, de concerts, de conférences et d'autres rassemblements. Assure la qualité du son et la sécurité technique du matériel utilisé."
71612,Preneur de son,,مشغل ملتقط الصوت,,96,7,"Activité consistant à enregistrer et manipuler des sons pour diverses fins, telles que la production de films, de musique, de podcasts et de jeux vidéo."
71611,Perchman,,حامل عصا الميكروفون,,96,7,Activité indépendante consistant à vendre des produits ou services sur des plateformes en ligne sans détenir de stock physique. Les perchmen font souvent appel à des prestataires tiers pour le stockage et la livraison.
71610,Opérateur prise de son,,مشغل التقاط الصوت,,95,7,"Opérateur de prise de son pour auto-entrepreneurs en Algérie : Individu indépendant spécialisé dans l'enregistrement, le mixage et le traitement de sons pour divers supports, notamment la musique, les podcasts et les films."
71609,Opérateur de prise de son specialisé,,مشغل مختص في التقاط الصوت,,95,7,"Enregistrement, mixage et traitement de sons pour des productions audiovisuelles, musicales ou autres."
71608,Ingénieur du son,,مهندس الصوت,,95,7,"Ingénieur du son : Spécialiste en techniques d'enregistrement, de mixage et de mastering audio. Conçoit et optimise les systèmes sonores, supervise les sessions d'enregistrement et post-production, assurant la qualité et la cohérence du son final."
71607,Chef opérateur du son,,رئيس مشغل الصوت,,95,7,"Technicien audiovisuel responsable de l'enregistrement, du mixage et de la diffusion du son dans les productions audiovisuelles (films, émissions, spectacles)."
71606,Chef opérateur de prise de son,,رئيس مشغل التقاط الصوت,,95,7,"Enregistrement et mixage du son pour des films, des émissions de télévision, des publicités et d'autres productions audiovisuelles."
71605,Chef d'atelier son,,رئيس ورشة الصوت,,95,7,"Activité artisanale en Algérie consistant à gérer un atelier où sont réalisées des réparations, des fabrications ou des transformations de biens. Le chef d'atelier supervise les activités de production et assure le bon fonctionnement de l'entreprise."
71604,Bruiteur,,مكلف بإحداث الصوت,,95,7,"Artisan qui crée et imite des bruits pour des représentations théâtrales, des films ou des émissions de télévision."
71603,Backliner,,مكلف بأجهزة الصوت (باكلينر),,95,7,"Fabrication artisanale de produits textiles, notamment de rideaux, de housses et de linge de maison."
71602,Assistant son,,مساعد الصوت,,95,7,"Activité consistant à fournir une assistance administrative ou commerciale aux entrepreneurs, notamment dans les domaines suivants : gestion de courrier, prise de rendez-vous, tenue de comptabilité de base, gestion des réseaux sociaux."
71601,Assistant de prise de son,,مساعد ملتقط الصوت,,95,7,"Activité comprenant l'assistance technique à la prise de son lors d'événements, de productions audiovisuelles ou de concerts."
71526,Technicien vidéo,,تقني فيديو,,95,7,"Un Technicien vidéo travaille à son compte en Algérie, fournissant des services tels que la capture, l'édition, le montage et la diffusion de contenus vidéo pour diverses plateformes et clients. Il possède des compétences techniques en matière d'appareils photo, de logiciels de montage et de techniques de production. Cette activité permet aux auto-entrepreneurs de gagner des revenus en exploitant leurs compétences en production vidéo."
71525,Technicien d'exploitation vidéo,,تقني تشغيل فيديو,,95,7,"Activité consistant à installer, entretenir et dépanner des équipements audiovisuels (caméras, enregistreurs, plateaux de tournage) pour des productions vidéo."
71524,Technicien d'exploitation et de maintenance des équipements audiovisuels,,تقني تشغيل وصيانة المعدات السمعية والبصرية,,95,7,"Technicien spécialisé dans l'installation, la maintenance et la réparation d'équipements audiovisuels (systèmes de sonorisation, de projection, d'éclairage), assurant le bon fonctionnement des installations techniques dans les lieux de spectacle, de conférence ou de formation."
71523,Technicien banc de titre,,تقني طاولة تصوير عناوين متحركة,,95,7,"Professionnel qui effectue des contrôles techniques sur les véhicules pour en vérifier leur conformité et leur sécurité, notamment en utilisant un banc de titre pour mesurer les angles de carrossage, de chasse et de pincement."
71522,Technicien prompteur,,تقني شاشة التلقين,,95,7,"Installation, maintenance et réparation d'équipements de projection de messages et d'images pour les spectacles, les conférences et les événements."
71521,Preneur d'image,,ملتقط الصورة,,94,7,"Activité consistant à capturer des images fixes ou en mouvement à l'aide d'appareils photo ou de caméras, pour les utiliser à des fins commerciales ou artistiques. Cela peut inclure la photographie, la vidéographie, le photojournalisme et la photographie commerciale."
71520,Premier assistant opérateur,,مشغل تجهيزات التصوير,,94,7,"Activité consistant à assister un opérateur dans la réalisation de tâches manuelles ou administratives dans le cadre d'une entreprise, d'un commerce ou d'une profession libérale."
71519,Pointeur,,مدقق الصورة,,94,7,"Activité de cueillette et de collecte de papier, de carton et de matières plastiques usagés, en vue de leur vente à des entreprises de recyclage."
71518,Photographe de plateau,,مصور البلاطو,,94,7,"Activité de prise de vues fixes ou animées, de retouche et d'édition d'images sur des plateaux de tournage de films, de séries télévisées ou de publicités, afin de capturer et de documenter les scènes et les coulisses."
71517,Opérateur vidéo,,مشغل فيديو,,94,7,"Professionnel enregistrant, éditant et diffusant des séquences vidéo pour des clients, généralement pour des événements, des publicités ou des productions audiovisuelles."
71516,Opérateur sur louma,,مشغل كاميرا على ذراع,,94,7,"Vente ambulante temporaire de produits divers sur des marchés éphémères appelés ""loumas"", en Algérie."
71515,Opérateur steadycam,,مشغل كاميرا بمثبت,,94,7,"Opérateur steadicam : Personne utilisant une caméra stabilisée à l'épaule, appelée steadicam, pour capturer des images fluides et stables, en réduisant les mouvements indésirables de la caméra."
71514,Opérateur prise de vue specialisé,,مشغل التقاط الصور مختص,,94,7,"Un opérateur de prise de vue spécialisé est un auto-entrepreneur qui capture des images et des vidéos pour divers projets, tels que les mariages, les événements d'entreprise et les campagnes publicitaires. Il utilise des équipements spécialisés (caméras, objectifs, éclairage) et maîtrise les techniques de composition, de cadrage et de montage."
71513,Opérateur image,,مشغل الصورة,,94,7,"Activité consistant à capturer, traiter et diffuser des images (photos, vidéos) pour des clients professionnels ou particuliers. Elle peut inclure la prise de vue, le montage, le retouche et la diffusion sur différents supports (sites web, réseaux sociaux, supports imprimés)."
71512,Opérateur de plateau,,مشغل البلاطو,,94,7,"Un Opérateur de plateau est un auto-entrepreneur qui anime des jeux ou des quiz sur un plateau de télévision ou lors d'autres événements. Il peut également présenter des invités, lancer des sujets de discussion et interagir avec le public."
71511,Ingénieur de la vision,,مهندس التصوير الرقمي,,94,7,"Spécialiste qui conçoit, développe et maintient des systèmes de traitement d'images, de vision artificielle et d'intelligence artificielle, notamment dans les secteurs de la robotique, de l'automobile et de la santé."
71510,Directeur de la photo,,مدير التصوير,,94,7,"Responsable artistique de la direction photographique des films, publicités, clips musicaux et autres productions visuelles. Définit l'éclairage, la composition des plans et le matériel technique à utiliser pour créer l'ambiance visuelle souhaitée."
71509,Deuxième assistant operateur,,مساعد ثاني مشغل,,94,7,"Activité de fourniture de services administratifs et techniques aux entreprises, incluant la gestion de courriers, la saisie de données, la réponse téléphonique, l'organisation de voyages et la prise de rendez-vous."
71508,Chef opérateur vidéo,,رئيس مشغل الفيديو,,94,7,"Responsable de la gestion technique et artistique des prises de vue vidéo lors de productions audiovisuelles. Il supervise l'équipe caméra, le son, l'éclairage et la post-production, assurant la qualité esthétique et technique des images."
71507,Chef opérateur d'image,,رئيس مشغل الصورة,,94,7,"Technicien responsable de la prise de vues, réglant les éclairages, les caméras et le cadrage pour produire des images de qualité dans le cadre de productions audiovisuelles."
71506,Chef opérateur de prise de vue,,رئيس مشغل التقاط الصور,,94,7,"Activité consistant à diriger et à coordonner les opérations techniques de prise de vue d'images animées (films, séries, publicités)."
71505,Cameraman,,مصور بالكاميرا,,94,7,"Cameraman en tant qu'activité pour les auto-entrepreneurs en Algérie : Professionnel qui filme et enregistre des images en mouvement pour des productions audiovisuelles, telles que des films, des reportages ou des publicités."
71504,Cadreur,,مؤطر الصورة,,94,7,"Activité de réalisation de prises de vue pour la création de films, de documentaires ou de reportages télévisés. Le cadreur est responsable de la composition et du mouvement de la caméra, ainsi que de l'éclairage et du son."
71503,Assistant opérateur sur louma,,مساعد مشغل كاميرا على ذراع,,94,7,"Assistanat sur les marchés informels en Algérie, impliquant :

* Aide à la mise en place et au rangement des étals
* Gestion des clients, encaissement et suivi des ventes
* Assistance administrative ou logistique selon les besoins"
71502,Assistant cameraman,,مساعد مصور بالكاميرا,,94,7,"Assistant spécialisé dans l'assistance technique à un caméraman professionnel sur les plateaux de tournage. Ses tâches comprennent :

* Préparation et maintenance de l'équipement de caméra
* Réglage de l'éclairage et du son
* Aide au cadrage et à la composition des prises de vue
* Gestion du matériel de support"
71501,Assistant cadreur,,مساعد مؤطر الصورة,,94,7,"Un assistant cadreur assiste le cadreur ou le réalisateur lors des tournages de films, séries ou documentaires en s'occupant de tâches techniques et pratiques, comme la préparation de l'équipement, le chargement des bobines de film, la mise en place des accessoires et le respect de la continuité."
71420,Technicien lumière,,تقني الاضاءة,,94,7,"Un Technicien lumière est un auto-entrepreneur spécialisé dans l'installation, l'exploitation et la maintenance de systèmes d'éclairage pour les événements, les spectacles et les lieux publics. Il conçoit et met en œuvre des solutions d'éclairage qui répondent aux besoins esthétiques et fonctionnels, en utilisant une variété de techniques et d'équipements."
71419,Pupitreur spectacle,,مكلف بوحدة التحكم العرض,,94,7,"Activité consistant à prêter sa voix, à incarner ou à animer des marionnettes ou des personnages artificiels dans le cadre de spectacles de divertissement."
71418,Pupitreur image,,مكلف بوحدة التحكم في الصورة,,94,7,"Fabrication d'objets de décoration et d'ameublement en bois, métal, résine, verre ou autres matériaux, à l'aide de machines-outils ou à la main."
71417,Pupitre man,,مشغل اللوحة التقنية,,94,7,"Activité de services consistant à fournir un accompagnement personnalisé aux entrepreneurs et porteurs de projets, en leur proposant des conseils, des formations et un soutien administratif et juridique."
71416,Poursuiteur,,متقفي اضاءة,,94,7,Service de recouvrement de créances pour les entreprises et les professionnels algériens en cas de non-paiement par leurs clients. Les poursuiteurs aident à récupérer les dettes impayées en utilisant des méthodes légales et amiables.
71415,Opérateur poursuite,,مشغل إضاءة متقفي,,93,7,L'opérateur poursuite est un professionnel indépendant en Algérie qui aide les entreprises à recouvrer les créances impayées. Il met en œuvre des stratégies de recouvrement amiable et judiciaire pour maximiser les chances de remboursement.
71414,Opérateur lumière,,مشغل اضاءة,,93,7,"Assurance des réglages des systèmes d'éclairage (projecteurs, consoles) en fonction des besoins du spectacle ou de l'événement."
71413,Groupiste,,مكلف بالمولدات الكهربائية للعروض,,93,7,"Activité de vente directe de biens ou de services au sein d'un réseau de distribution, organisé par l'entreprise mandante, auprès d'une clientèle de particuliers."
71412,Electricien plateau,,كهربائي المرحلة,,93,7,"Activité artisanale consistant à installer, réparer et entretenir les réseaux électriques et les équipements électriques dans les studios de télévision et de cinéma."
